"player_name","tf_season","team_to","contract_expiry","days_remaining"
"Jan Oblak","2014","Atlético Madrid",2015-07-30,379
"Jan Oblak","2012","Rio Ave FC",2015-07-30,1054
"Jan Oblak","2011","Leiria",2016-06-30,1756
"Jan Oblak","2010","Olhanense",2016-06-30,2004
"Jan Oblak","2009","Beira-Mar",NA,NA
"Artur Moraes","2015","Osmanlispor",NA,NA
"Bruno Varela","2020","Vit. Guimarães",2022-06-30,680
"Bruno Varela","2019","Ajax",2022-06-30,1095
"Bruno Varela","2018","Ajax",2022-06-30,1248
"Bruno Varela","2016","Vitória Setúbal",2018-06-30,729
"Paulo Lopes","2018","Retired",NA,NA
"Paulo Lopes","2002","Salgueiros",NA,NA
"Paulo Lopes","2099","Gil Vicente",NA,NA
"Ezequiel Garay","2014","Zenit S-Pb",NA,NA
"Luisão","2018","Retired",2019-06-30,278
"Jardel","2021","Without Club",NA,NA
"Steven Vitória","2016","Lechia Gdansk",2017-06-30,317
"Steven Vitória","2014","Philadelphia",2017-06-30,872
"Stefan Mitrović","2014","SC Freiburg",2018-06-30,1445
"Stefan Mitrović","2013","Real Valladolid",2018-06-30,1621
"Victor Lindelöf","2017","Man Utd",2021-06-30,1460
"Guilherme Siqueira","2013","Granada CF",2014-06-30,0
"Bruno Cortez","2013","São Paulo",NA,NA
"Maximiliano Pereira","2015","FC Porto",NA,NA
"Sílvio","2015","Atlético Madrid",2016-06-30,0
"André Almeida","2022","Without Club",NA,NA
"André Almeida","2011","Leiria",2023-06-30,4379
"João Cancelo","2015","Valencia",2018-06-30,1095
"João Cancelo","2014","Valencia",2018-06-30,1410
"Nemanja Matić","2013","Chelsea",2018-06-30,1627
"Enzo Pérez","2014","Valencia",2016-06-30,545
"Enzo Pérez","2011","Estudiantes",2016-06-30,1603
"Ljubomir Fejsa","2020","Al-Ahli SFC",2021-06-30,279
"Ljubomir Fejsa","2019","Alavés",2021-06-30,518
"André Gomes","2015","Valencia",2016-06-30,365
"André Gomes","2014","Valencia",2016-06-30,714
"Rúben Amorim","2016","Retired",2018-06-30,452
"Rúben Amorim","2015","Al-Wakrah SC",NA,NA
"Rúben Amorim","2011","SC Braga",2018-06-30,2372
"Miralem Sulejmani","2015","BSC Young Boys",2018-06-30,1095
"Nico Gaitán","2016","Atlético Madrid",2019-06-30,1094
"Filip Djuricic","2016","Sampdoria",2018-06-30,516
"Filip Djuricic","2016","Sampdoria",2018-06-30,708
"Filip Djuricic","2015","RSC Anderlecht",2018-06-30,887
"Filip Djuricic","2014","Southampton",2018-06-30,1244
"Filip Djuricic","2014","1.FSV Mainz 05",2018-06-30,1438
"Bernardo Silva","2014","Monaco",2018-06-30,1257
"Bernardo Silva","2014","Monaco",2018-06-30,1423
"Ola John","2017","Benfica B",2019-06-30,729
"Ola John","2016","Dep. La Coruña",2019-06-30,898
"Ola John","2016","Wolves",2019-06-30,1041
"Ola John","2015","Reading",2018-06-30,1033
"Ola John","2013","Hamburger SV",2019-06-30,1990
"Ivan Cavaleiro","2015","Monaco",2018-06-30,1086
"Ivan Cavaleiro","2014","Dep. La Coruña",2018-06-30,1423
"Eduardo Salvio","2019","Boca Juniors",2022-06-30,1078
"Eduardo Salvio","2010","Atlético Madrid",2011-06-30,0
"Lazar Markovic","2014","Liverpool",2018-06-30,1446
"Hélder Costa","2016","Wolves",2018-06-30,516
"Hélder Costa","2016","Wolves",NA,NA
"Hélder Costa","2015","Monaco",NA,NA
"Óscar Cardozo","2014","Trabzonspor",2016-06-30,694
"Lima","2015","Al-Ahli (UAE)",2016-06-30,342
"Rodrigo","2015","Valencia",2019-06-30,1460
"Rodrigo","2014","Valencia",2015-06-30,342
"Rodrigo","2010","Bolton",2015-06-30,1764
"Rogelio Funes Mori","2015","Monterrey",2018-06-30,1095
"Rogelio Funes Mori","2014","Eskisehirspor",2018-06-30,1453
"Rui Fonte","2016","SC Braga",2018-06-30,668
